dataset,variant,seed,f1,acc,dn_post,bf_pre,converged,iterations,final_mse,time_s,reason
mushroom,STE_hybrid,229,0.1927,0.5718,0.0,0.2398,False,176,0.398084,5.38,max_iter
mushroom,STE_hybrid,246,0.4937,0.7539,0.0,0.4387,False,131,0.236418,4.55,p2_stagnation
mushroom,STE_hybrid,263,0.5073,0.3398,0.0,0.2316,False,174,0.658423,5.54,max_iter
mushroom,STE_hybrid,280,0.0,0.6602,0.0,0.4415,False,139,0.341577,4.92,p2_stagnation
mushroom,STE_hybrid,297,0.5997,0.7656,0.0,0.3962,False,162,0.229855,6.32,p2_stagnation
mushroom,STE_hybrid,314,0.0,0.6602,0.0,0.4428,False,126,0.341476,4.26,p2_stagnation
mushroom,STE_hybrid,331,0.009,0.6444,0.0,0.4275,False,128,0.354754,3.75,p2_stagnation
mushroom,STE_hybrid,348,0.0,0.6602,0.0,0.2209,False,174,0.341577,5.25,max_iter
mushroom,STE_hybrid,365,0.463,0.6764,0.0,0.366,False,170,0.283676,5.65,p2_stagnation
mushroom,STE_hybrid,382,0.0,0.6602,0.0,0.4051,False,137,0.341577,4.61,p2_stagnation
mushroom,STE_hybrid,399,0.0,0.6602,0.0,0.2295,False,174,0.341577,5.53,p2_stagnation
mushroom,STE_hybrid,416,0.4403,0.732,0.0,0.4313,False,135,0.265736,4.49,p2_stagnation
mushroom,STE_hybrid,433,0.0,0.6602,0.0,0.2268,False,173,0.341577,5.58,max_iter
mushroom,STE_hybrid,450,0.2272,0.6938,0.0,0.436,False,139,0.300046,4.62,p2_stagnation
mushroom,STE_hybrid,467,0.6049,0.7822,0.0,0.4321,False,131,0.189591,4.08,p2_stagnation
mushroom,STE_hybrid,484,0.0024,0.6606,0.0,0.4433,False,125,0.341577,5.29,p2_stagnation
mushroom,STE_hybrid,501,0.5675,0.4834,0.0,0.2426,False,200,0.518118,6.31,max_iter
mushroom,STE_hybrid,518,0.0048,0.6606,0.0,0.439,False,116,0.341197,3.74,p2_stagnation
mushroom,STE_hybrid,535,0.6464,0.7409,0.0,0.4355,False,131,0.232642,4.72,p2_stagnation
